Distance,Point,B,L,H,Density_Cs_min,Density_Cs_max,,Density_Sr_min,Density_Sr_max,log-normal,SA_Cs-137,SA_Sr-90,Soil_Type,Soil_Subtype,Soil_Granulometry,Plant_Formation,Plant_Type,Age,"Wood_Stock, m3/ha",Wood_ATF_Cs-137,Wood_ATF_Sr-90,Leaf_Cs-137,Leaf_Sr-90,SA_Cs_Wood,Leaf,Dose_external,Dose_internal (inhal.),3.90E-08,1.60E-07,1.00E-08,1.41,internal (inhal.),internal (inhal.),internal (inhal.),internal (inhal.) 2040 h,internal (inhal.) 2040 h,internal (inhal.) 2040 h,,,
4.9,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3325,30.8374,"52.332459,30.837426"
5,6,52.332459,30.837426,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3330,30.8363,"52.332988,30.83628075"
5.1,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3335,30.8351,"52.333517,30.8351355"
5.2,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3340,30.8340,"52.334046,30.83399025"
5.3,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3346,30.8328,"52.334575,30.832845"
5.4,7,52.334575,30.832845,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3354,30.8326,"52.3354479166666,30.8326196666666"
5.5,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3363,30.8324,"52.3363208333333,30.8323943333333"
5.6,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3372,30.8322,"52.33719375,30.832169"
5.7,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3381,30.8319,"52.3380666666666,30.8319436666666"
5.8,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3389,30.8317,"52.3389395833333,30.8317183333333"
