Stage,UG,Point,B,L,Y_1m_1,Y_1m_2,Y_1m_3,Y_1m_4,Y_1m_5,Y_3cm_1,Y_3cm_2,Y_3cm_3,Y_3cm_4,Y_3cm_5,"M_soil, g","SA_Soil, Bq/kg",+/-,Soil_0_5,Soil_5_10,Soil_10_15,Soil_15_20,Wood,Y_1m,Y_3cm,формация,тип,возраст,запас,"ПЗ, кБк/м2","ПЗ, Ки/км2"
6,,123.3,53.29379013479046,30.818507761470563,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,123.4,53.29467416950294,30.818675365784298,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,123.5,53.29555820421542,30.818842970098032,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,123.6,53.29644223892789,30.819010574411763,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,123.7,53.297326273640365,30.819178178725497,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,123.8,53.29821030835284,30.819345783039232,114,98,109,112,118,129,133,113,123,121,,,,,,,,,0.1102,0.1238,поле зеленое,,,,,
6,,123.9,53.29909434306532,30.819513387352963,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,Уг74,124.0,53.2999783777778,30.819680991666697,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,124.1,53.30088534725717,30.819695334016956,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,124.2,53.301792316736545,30.819709676367218,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,124.3,53.30269928621592,30.819724018717476,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,124.4,53.30360625569529,30.819738361067735,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,124.5,53.30451322517467,30.819752703417993,101,116,96,112,105,103,128,115,135,121,,,,,,,,,0.106,0.1204,,,,,,
6,,124.6,53.30542019465404,30.819767045768256,,,,,,,,,,,1537,359,45,,,,,,#DIV/0!,#DIV/0!,поле с рапсом отцвевшим,,,,,
6,,124.7,53.306327164133414,30.819781388118514,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,124.8,53.30723413361279,30.819795730468773,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,124.9,53.30814110309216,30.819810072819035,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,125.0,53.309048072571535,30.819824415169293,108,113,144,135,136,172,131,126,138,172,1384,498,63,,,,,,0.1272,0.1478,поле с рапсом отцвевшим,,,,,
6,,125.1,53.30995504205091,30.819838757519552,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,125.2,53.31086201153028,30.819853099869814,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,125.3,53.311768981009656,30.819867442220072,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,125.4,53.31267595048902,30.81988178457033,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,125.5,53.3135829199684,30.81989612692059,122,133,114,131,124,103,128,135,133,126,,,,,,,,,0.1248,0.125,,,,,,
6,,125.6,53.31448988944777,30.81991046927085,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,125.7,53.315396858927144,30.81992481162111,143,143,140,134,147,137,166,150,171,159,1747,493,62,,,,,,0.1414,0.1566,поле,,,,,
6,,125.8,53.31630382840652,30.81993915397137,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,125.9,53.31721079788589,30.81995349632163,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,126.0,53.318117767365266,30.81996783867189,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,луг,,,,,
6,,126.1,53.31902473684464,30.819982181022148,138,134,120,121,123,140,146,152,146,125,,,,,,,,,0.1272,0.1418,кусты около луга,,,,,
6,Уг75,126.13,53.31929680277779,30.819986483333302,149,119,106,126,112,135,135,140,130,149,1508,415,52,,,,,,0.1224,0.1378,,,,,,
6,,126.2,53.31991680723473,30.820167041815534,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,128.8,53.34294464066632,30.826873236596757,95,94,104,86,99,100,104,91,103,106,,,,,,,,,0.0956,0.1008,,,,,,
6,,128.9,53.343830326567534,30.827131167165263,69,95,90,85,84,82,103,82,110,96,1559,304,38,,,,,,0.0846,0.0946,,,,,,
6,,129.0,53.344716012468744,30.82738909773377,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,129.1,53.34560169836996,30.82764702830228,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,129.2,53.34648738427118,30.82790495887079,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,129.3,53.347373070172395,30.828162889439298,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,Уг76,129.32,53.34755027222221,30.8282144944444,118,109,113,109,130,125,115,126,143,133,1454,505,63,,,,,,0.1158,0.1284,луг разнотравный,,,,,
6,,129.4,53.34820435223545,30.827820733976647,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,129.5,53.34902202711237,30.827328488325524,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,129.6,53.349839701989296,30.826836242674403,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,129.7,53.35065737686622,30.82634399702328,124,136,107,118,87,115,122,116,146,103,1401,422,53,,,,,,0.1144,0.1204,поле разнотравное,,,,,
6,,129.8,53.351475051743144,30.825851751372156,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,129.9,53.352292726620064,30.825359505721032,90,84,101,122,68,99,85,71,164,78,,,,,,,,,0.093,0.0994,трасса,,,,,
6,,130.0,53.353110401496984,30.824867260069908,189,198,158,176,172,206,229,221,176,194,1183,620,78,,,,,,0.1786,0.2052,"лесок возле трассы береза, рябина 70",,,,,
6,Уг77,130.05,53.353519263888906,30.8246211222222,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,130.1,53.353974505997115,30.824723635165967,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,лесок возле поля лиственный 15,,,,,
6,,130.2,53.35488504578848,30.82492867356805,166,102,130,117,119,175,118,115,91,129,1407,1048,132,,,,,,0.1268,0.1256,поле возле леса паханное,,,,,
6,,130.3,53.35579558557984,30.825133711970132,105,94,100,97,116,122,114,119,133,124,1826,325,41,,,,,,0.1024,0.1224,,,,,,
6,,130.4,53.356706125371204,30.825338750372214,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,130.5,53.35761666516257,30.825543788774297,81,145,120,83,96,102,153,127,104,113,1554,409,52,,,,,,0.105,0.1198,поле лес сосна береза 5,,,,,
6,,130.6,53.35852720495393,30.82574882717638,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,130.7,53.35943774474529,30.825953865578462,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,130.8,53.360348284536656,30.826158903980545,91,86,90,85,81,93,103,97,88,89,,,,,,,,,0.0866,0.094,окраина поля,,,,,
6,,130.9,53.36125882432801,30.826363942382628,86,107,94,92,85,92,89,90,95,95,1532,379,47,,,,,,0.0928,0.0922,лесок береза,,,,,
6,,131.0,53.362169364119374,30.826568980784707,98,88,95,95,98,128,113,92,102,107,,,,,,,,,0.0948,0.1084,"окраина леса береза,20",,,,,
6,,131.1,53.36307990391074,30.82677401918679,86,81,99,94,104,124,120,110,119,107,,,,,,,,,0.0928,0.116,,,,,,
6,,131.2,53.3639904437021,30.826979057588872,103,93,100,89,99,100,103,82,95,80,,,,,,,,,0.0968,0.092,поле разнотравное,,,,,
6,Уг78,131.9,53.37036417,30.82841431,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Уг79,132.4,53.37337153,30.8335006,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Уг80,132.92,53.37569009,30.84023488,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,134.3,53.388071118736214,30.840793036987186,106,130,95,157,186,113,148,129,194,217,1426,793,99,,,,,,0.1348,0.1602,лес в поле,,,,,
6,,134.4,53.388968293822984,30.840833483454333,197,248,179,197,203,240,340,187,201,223,,,,,,,,,0.2048,0.2382,"лес, ель, береза, клен, рябина, черника",,,,,
6,,134.5,53.38986546890975,30.840873929921475,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,134.6,53.39076264399651,30.84091437638862,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,134.7,53.39165981908327,30.840954822855764,120,126,111,169,129,145,150,137,180,162,848,648,81,,,,,,0.131,0.1548,болото,,,,,
6,,134.8,53.39255699417004,30.840995269322907,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,134.9,53.393454169256806,30.841035715790053,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
